This table lists the names of virus species known to probably interact with insects. The data is taken from the virushostdb database (downloaded on 23/05/2022), which lists a wide variety of virus species associated with their presumed hosts. We have also added two important exploratory studies of RNA viruses (shi_redefining_2016, Haoming et al_insect_2020). The viral genomic structures associated with the viruses were retrieved from the ICTV website (2021.v1). Each column represents the information retrieved for each virus species from one of the three sources listed. The Hostdb_Host_lineage column corresponds to the information of the insect host observed interacting with the virus of interest. If a column with the suffix 'Shi' or 'Haoming' contains information for a virus species, then this means that this RNA virus species was found in their dataset in an insect. );;;;;;;;;;;;
Virus_Name;Putative_Genome_Composition;ICTV_Genus;Hostdb_Host_name;Hostdb_Host_lineage;Hostdb_Family;Shi_Family;Haoming_Family;Haoming_Clade;Haoming_Host;ICTV_Genome_Composition;ICTV_Family;Consensus_family
Adoxophyes_orana_granulovirus;dsDNA;Betabaculovirus;Adoxophyes;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Adoxophyes_orana_nucleopolyhedrovirus;;;Adoxophyes orana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Adoxophyes";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Aedes_aegypti_densovirus_2;;;Aedes aegypti;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Parvoviridae;;;;;ssDNA;Parvoviridae;Parvoviridae
Aedes_aegypti_densovirus_2;;;Aedes aegypti;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Parvoviridae;;;;;ssDNA;Parvoviridae;Parvoviridae
Aedes_albopictus_densovirus_2;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Parvoviridae;;;;;ssDNA;Parvoviridae;Parvoviridae
Aedes_albopictus_densovirus_2;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Parvoviridae;;;;;ssDNA;Parvoviridae;Parvoviridae
Aedes_flavivirus;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Flaviviridae;;;;;ssRNA(+);Flaviviridae;Flaviviridae
Aedes_pseudoscutellaris_reovirus;dsRNA;Dinovernavirus;Aedes pseudoscutellaris;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Reoviridae;;;;;dsRNA;;Reoviridae
African_horse_sickness_virus;dsRNA;Orbivirus;Aedes sp.;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes";Reoviridae;;;;;dsRNA;;Reoviridae
Ageratum_yellow_vein_virus_satellite_DNA_beta-[Ishigaki];;;Bemisia tabaci;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aleyrodoidea; Aleyrodidae; Aleyrodinae; Bemisia";;;;;;Unknown;;
