This table lists the names of virus species known to probably interact with insects. The data is taken from the virushostdb database (downloaded on 23/05/2022), which lists a wide variety of virus species associated with their presumed hosts. We have also added two important exploratory studies of RNA viruses (shi_redefining_2016, Haoming et al_insect_2020). The viral genomic structures associated with the viruses were retrieved from the ICTV website (2021.v1). Each column represents the information retrieved for each virus species from one of the three sources listed. The Hostdb_Host_lineage column corresponds to the information of the insect host observed interacting with the virus of interest. If a column with the suffix 'Shi' or 'Haoming' contains information for a virus species, then this means that this RNA virus species was found in their dataset in an insect. );;;;;;;;;;;;
Virus_Name;Putative_Genome_Composition;ICTV_Genus;Hostdb_Host_name;Hostdb_Host_lineage;Hostdb_Family;Shi_Family;Haoming_Family;Haoming_Clade;Haoming_Host;ICTV_Genome_Composition;ICTV_Family;Consensus_family
Catu_virus;;;Culex spissipes;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Culicini; Culex; Melanoconion";Peribunyaviridae;;;;;ssRNA(-);Peribunyaviridae;Peribunyaviridae
Cavally_virus;;;Anopheles;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Anophelinae";Mesoniviridae;;;;;ssRNA(+);Mesoniviridae;Mesoniviridae
Cell_fusing_agent_virus;;;Aedes;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini";Flaviviridae;;;;;ssRNA(+);Flaviviridae;Flaviviridae
Centovirus_AC;;;Culicidae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea";Dicistroviridae;;;;;ssRNA(+);Dicistroviridae;Dicistroviridae
Cereal_yellow_dwarf_virus_RPS;ssRNA(+);Polerovirus;Rhopalosiphum padi;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aphidomorpha; Aphidoidea; Aphididae; Aphidinae; Aphidini; Rhopalosiphum";Solemoviridae;;;;;ssRNA(+);Solemoviridae;Solemoviridae
Cereal_yellow_dwarf_virus_RPV;ssRNA(+);Polerovirus;Schizaphis graminum;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aphidomorpha; Aphidoidea; Aphididae; Aphidinae; Aphidini; Schizaphis";Solemoviridae;;;;;ssRNA(+);Solemoviridae;Solemoviridae
Cereal_yellow_dwarf_virus-RPV_satellite_RNA;;;Rhopalosiphum padi;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aphidomorpha; Aphidoidea; Aphididae; Aphidinae; Aphidini; Rhopalosiphum";;;;;;Unknown;;
Chandipura_virus;;;Phlebotominae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Psychodomorpha; Psychodoidea; Psychodidae";Rhabdoviridae;;;;;ssRNA(-);Rhabdoviridae;Rhabdoviridae
Chaoyang_virus;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Flaviviridae;;;;;ssRNA(+);Flaviviridae;Flaviviridae
Chelonus_inanitus_bracovirus;;;Chelonus inanitus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Cheloninae; Chelonus";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Chenopodium_leaf_curl_virus_[VEM];;;Bemisia tabaci;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aleyrodoidea; Aleyrodidae; Aleyrodinae; Bemisia";Geminiviridae;;;;;ssDNA;Geminiviridae;Geminiviridae
Chenopodium_leaf_curl_virus_[VEM];;;Bemisia tabaci;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aleyrodoidea; Aleyrodidae; Aleyrodinae; Bemisia";Geminiviridae;;;;;ssDNA;Geminiviridae;Geminiviridae
Chikungunya_virus;ssRNA(+);Alphavirus;Aedes aegypti;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Togaviridae;;;;;ssRNA(+);Togaviridae;Togaviridae
Chinese_artichoke_mosaic_virus;ssRNA(+);Potyvirus;Aphididae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha; Aphidomorpha; Aphidoidea";Potyviridae;;;;;ssRNA(+);Potyviridae;Potyviridae
Chiqui_virus;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Reoviridae;;;;;dsRNA;;Reoviridae
Choristoneura_biennis_entomopoxvirus;dsDNA;Betaentomopoxvirus;Choristoneura fumiferana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Poxviridae;;;;;dsDNA;Poxviridae;Poxviridae
Choristoneura_fumiferana_DEF_multiple_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Lepidoptera;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Choristoneura_fumiferana_entomopoxvirus;dsDNA;Betaentomopoxvirus;Choristoneura fumiferana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Poxviridae;;;;;dsDNA;Poxviridae;Poxviridae
Choristoneura_fumiferana_granulovirus;dsDNA;Betabaculovirus;Choristoneura fumiferana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Choristoneura_fumiferana_multiple_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Choristoneura fumiferana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Choristoneura_murinana_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Mamestra brassicae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Noctuidae; Hadeninae; Mamestra";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Choristoneura_occidentalis_alphabaculovirus;;;Choristoneura occidentalis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Choristoneura_occidentalis_cypovirus_16;;;Choristoneura occidentalis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Reoviridae;;;;;dsRNA;;Reoviridae
Choristoneura_rosaceana_entomopoxvirus_'L';;;Choristoneura rosaceana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Poxviridae;;;;;dsDNA;Poxviridae;Poxviridae
Choristoneura_rosaceana_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Choristoneura rosaceana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Tortricinae; Archipini; Choristoneura";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Chronic_bee_paralysis_virus;;;Apis mellifera;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Apinae; Apini; Apis";;;;;;Unknown;;
Chrysodeixis_chalcites_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Chrysodeixis chalcites;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Noctuidae; Plusiinae; Chrysodeixis";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Cimodo_virus;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Reoviridae;;;;;dsRNA;;Reoviridae
Circulifer_tenellus_virus_1;;;Neoaliturus tenellus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Paraneoptera; Hemiptera; Auchenorrhyncha; Cicadomorpha; Membracoidea; Cicadellidae; Deltocephalinae; Neoaliturus; Circulifer";;;;;;Unknown;;
Clanis_bilineata_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Clanis bilineata;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Bombycoidea; Sphingidae; Smerinthinae; Smerinthini; Clanis";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Clostera_anachoreta_granulovirus;dsDNA;Betabaculovirus;Clostera anachoreta;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Notodontidae; Pygaerinae; Clostera";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Clostera_anastomosis_granulovirus_B;dsDNA;Betabaculovirus;Clostera anastomosis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Notodontidae; Pygaerinae; Clostera";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Clostera_anastomosis_granulovirus_Henan;;;Clostera anastomosis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Notodontidae; Pygaerinae; Clostera";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Cnaphalocrocis_medinalis_granulovirus;dsDNA;Betabaculovirus;Cnaphalocrocis medinalis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Pyraloidea; Crambidae; Pyraustinae; Cnaphalocrocis";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Cockroach_associated_cyclovirus_1;ssDNA;Cyclovirus;Eurycotis floridana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Polyneoptera; Dictyoptera; Blattodea; Blattoidea; Blattidae; Polyzosteriinae; Eurycotis";Circoviridae;;;;;ssDNA;Circoviridae;Circoviridae
Cockroach_associated_cyclovirus_1;ssDNA;Cyclovirus;Eurycotis floridana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Polyneoptera; Dictyoptera; Blattodea; Blattoidea; Blattidae; Polyzosteriinae; Eurycotis";Circoviridae;;;;;ssDNA;Circoviridae;Circoviridae
Cockroach_associated_cyclovirus_1;ssDNA;Cyclovirus;Eurycotis floridana;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Polyneoptera; Dictyoptera; Blattodea; Blattoidea; Blattidae; Polyzosteriinae; Eurycotis";Circoviridae;;;;;ssDNA;Circoviridae;Circoviridae
Condylorrhiza_vestigialis_MNPV;;;Condylorrhiza vestigialis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Pyraloidea; Crambidae; Spilomelinae; Condylorrhiza";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Coot_Bay_almendravirus;;;Aedes albopictus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Aedini; Aedes; Stegomyia";Rhabdoviridae;;;;;ssRNA(-);Rhabdoviridae;Rhabdoviridae
Cordoba_virus;;;Culex quinquefasciatus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Culicini; Culex; Culex";;;;;;Unknown;;
Corey_virus;;;Culicidae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea";;;;;;Unknown;;
Corriparta_virus;dsRNA;Orbivirus;Culex annulirostris;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Culicini; Culex; Culex";Reoviridae;;;;;dsRNA;;Reoviridae
Cotesia_congregata_bracovirus;;;Cotesia congregata;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_flavipes_bracovirus;;;Cotesia flavipes;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_glomerata_bracovirus;;;Cotesia glomerata;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_kariyai_bracovirus;;;Cotesia kariyai;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_marginiventris_bracovirus;;;Cotesia marginiventris;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_melanoscela_bracovirus;;;Cotesia melanoscela;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_plutellae_polydnavirus;;;Cotesia vestalis;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cotesia_rubecula_bracovirus;;;Cotesia rubecula;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Parasitoida; Ichneumonoidea; Braconidae; Microgastrinae; Cotesia";Polydnaviridae;;;;;dsDNA;;Polydnaviridae
Cricket_paralysis_virus;ssRNA(+);Cripavirus;Teleogryllus oceanicus;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Polyneoptera; Orthoptera; Ensifera; Gryllidea; Grylloidea; Gryllidae; Gryllinae; Teleogryllus";Dicistroviridae;;;;;ssRNA(+);Dicistroviridae;Dicistroviridae
Cryptophlebia_leucotreta_granulovirus;dsDNA;Betabaculovirus;Tortricidae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Cryptophlebia_peltastica_nucleopolyhedrovirus;dsDNA;Alphabaculovirus;Cryptophlebia peltastica;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Apoditrysia; Tortricoidea; Tortricidae; Olethreutinae; Grapholitini; Cryptophlebia";Baculoviridae;;;;;dsDNA;Baculoviridae;Baculoviridae
Culex_Bastrovirus-like_virus;;;Culicidae;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea";Astroviridae;;;;;ssRNA(+);Astroviridae;Astroviridae
Culex_flavivirus;;;Culex pipiens;"Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Culicomorpha; Culicoidea; Culicidae; Culicinae; Culicini; Culex; Culex";Flaviviridae;;;;;ssRNA(+);Flaviviridae;Flaviviridae
